LINK;TITULO;FECHA;MEDIO;MODALIDAD DE ROBO;TIPO DE ARMA;EDAD VICTIMA;EDAD DELINCUENTE;GENERO VICTIMA;GENERO DELINCUENTE;DISTRITO;MUERTOS;HERIDOS;OCUPACIÓN
http://elcomercio.pe/lima/smp-marcas-balean-comerciante-robarle-s-20-mil-151741;SMP: ‘marcas’ balean a comerciante para robarle S/20 mil;3/12/2016;El Comercio;Asalto;Pistola;35-55;;Hombre;Hombre (3);San Martín de Porres;0;1;Comerciante
https://panamericana.pe/locales/219173-delincuentes-armados-asaltan-hernan-vidaurre-familia-via-evitamiento;Delincuentes armados asaltan a Hernán Vidaurre y su familia en Via de Evitamiento;24;Panamericana;Asalto;Pistola;;;Hombre;Hombre;El Agustino;0;0;Cómico
http://peru21.pe/actualidad/olivos-marcas-asaltan-y-balean-empresario-2263933;Los Olivos: 'Marcas' dispararon a empresario y le arrebataron S/ 20 mil;2/12/2016;Perú21;Marcaje;Pistola;35-55;;Hombre;Varios (no especifica);Los Olivos;0;1;Empresario
http://www.americatv.com.pe/noticias/actualidad/pueblo-libre-mozo-evito-que-delincuentes-asalten-restaurante-n257201;Pueblo Libre: mozo evitó que delincuentes asalten restaurante;9/12/2016;América Noticias;Hurto;Arma blanca;;;Hombre;;Pueblo Libre;0;0;Empresario
http://trome.pe/actualidad/policiales/inseguridad-ciudadana-marcas-roban-20-mil-dolares-golpes-empresario-san-juan-lurigancho-32976;Inseguridad ciudadana: ‘Marcas’ roban 20 mil dólares a golpes a empresario en San Juan de Lurigancho [VIDEO];8/12/2016;Trome;Marcaje;Pistola;35-55;;Hombre;Hombre (5);San Juan de Lurigancho;0;1;Empresario
https://panamericana.pe/buenosdiasperu/locales/218912-delincuentes-asaltan-conocido-supermercado-comas;Delincuentes asaltan supermercado en Comas;20/12/2016;Panamericana;Asalto;;;;;Varios (no especifica);Comas;0;1;Estudiante
https://panamericana.pe/24horas/locales/218524-policia-capturo-delincuentes-pleno-robo-tienda-brena;Policía capturó a delincuentes en pleno robo a tienda en Breña;13;Panamericana;Hurto;;;35-55;;Hombre;Breña;1;0;Policía
http://trome.pe/actualidad/policiales/inseguridad-ciudadana-expolicia-asesinado-balazos-sicarios-35153;Inseguridad ciudadana: Expolicía fue asesinado a balazos por sicarios [FOTOS];29/12/2016;Trome;Sicariato;Pistola;57-100;;Hombre;Hombre (2);Callao;1;0;Policía
http://trome.pe/actualidad/policiales/cercado-lima-hallan-joven-muerto-cerca-estacion-metropolitano-via-expresa-video-34743;Cercado de Lima: Joven hallado muerto en la Vía Expresa habría sido asaltado en falso colectivo [VIDEO];26/12/2016;Trome;Asalto;Arma Blanca;15-21;;Hombre;Varios (no especifica);Cercado de Lima;1;0;Estudiante
http://trome.pe/actualidad/policiales/inseguridad-ciudadana-roban-casa-hermana-premier-fernando-zavala-miraflores-34676;Inseguridad ciudadana: Roban casa de hermana de premier Fernando Zavala en Miraflores;24/12/2016;Trome;Asalto;Pistola;;;Hombre;Varios (no especifica);Miraflores;0;0;Mayordomo
http://peru21.pe/actualidad/marcas-fusiles-robaron-s38-mil-militar-san-isidro-plena-luz-dia-2264976;Marcas con fusiles robaron S/38 mil a militar en San Isidro a plena luz del día;14/12/2016;Perú21;Marcaje;Pistola;;;Hombre;Hombre (3);San Isidro;0;0;Militar
http://www.latina.pe/noticias/90/menores-asaltan-a-mujer-embarazada-y-le-roban-34-mil-soles-44879/;Menores asaltan a mujer embarazada y le roban 34 mil soles;29;Latina;Raqueteo;;;;Mujer;Hombre;Cercado de Lima;1;0;Policía
https://panamericana.pe/24horas/locales/219310-sjl-delincuentes-roban-iglesia-visperas-navidad;SJL: delincuentes roban iglesia en víspera de Navidad;23;Panamericana;Hurto;Sin arma;;;;Hombre;San Juan de Lurigancho;0;0;Mozo
